Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
25-35,she/hers,White,Unsure,Yes,No,,Less than 5 years,Less than 2 years,My direct supervisor (if not library director),,,When my illness/disability impacted my work,,,,,Unsure,,,N/A,N/A,Disagree,Disagree,Strongly disagree,N/A,Strongly disagree,Agree        ,Agree        ,Agree        ,Disagree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree      ,Agree        ,Disagree        ,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,N/A,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
25-35,she/hers,White,Yes,Yes,No,,Less than 5 years,Less than 2 years,My direct supervisor (if not library director),,,As I built a personal relationship with colleagues,,,,,No,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Human Resources/disability office","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,When requesting accommodations",When my illness/disability impacted my work,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,Yes,Unsure,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,N/A,Strongly agree,N/A,N/A,N/A,Strongly disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree
25-35,she/hers,White,Yes,Yes,Unsure,Unsure,5-10 years,5-10 years,My direct supervisor (if not library director),,,When my illness/disability impacted my work,,,,,No,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Disagree        ,Disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,"My direct supervisor (if not library director),Library director ",,,"Once I began working,When requesting accommodations",,When requesting accommodations,,,Yes,Yes,"Work environment (furniture, office location, etc.)",Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35-45,she/hers,White,Yes,Yes,No,,10-15 years,5-10 years,"Colleagues I work with regularly,My direct supervisor (if not library director)",,When my illness/disability impacted my work,When my illness/disability impacted my work,,,,,No,,,N/A,N/A,Disagree,N/A,Strongly disagree,N/A,Strongly disagree,Strongly agree        ,Agree        ,Strongly agree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Strongly agree        ,Agree        ,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,No,No,Yes,Yes,20+ years,10-15 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office",As I built a personal relationship with colleagues,,When my illness/disability impacted my work,,,Other,,Unsure,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree      ,Agree        ,Strongly disagree        ,Strongly disagree        ,Disagree        ,Strongly agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45-55,she/hers,White,Yes,Yes,Yes,Yes,15-20 years,5-10 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,N/A,N/A,Disagree        ,Agree        ,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,No,Yes,10-15 years,5-10 years,Colleagues I consider close friends,When my illness/disability impacted my work,,,,,,,No,,,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Disagree,Agree        ,Strongly agree        ,Neither agree nor disagree      ,Agree        ,Disagree        ,Agree        ,Strongly disagree        ,Agree        ,Agree        ,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
35-45,she/hers,Hispanic/Latinx,Yes,Yes,No,Yes,15-20 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,When requesting accommodations","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,When requesting accommodations",,,"When my illness/disability impacted my work,When requesting accommodations",,Yes,Unsure,"Work schedule (change in hours, work from home, etc)",N/A,N/A,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
25-35,she/hers,White,Yes,Yes,No,No,Less than 5 years,Less than 2 years,"Colleagues I work with regularly,My direct supervisor (if not library director)",,"Once I began working,When my illness/disability impacted my work",When my illness/disability impacted my work,,,,,No,,,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,Disagree        ,Strongly disagree        ,Disagree        ,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,N/A,N/A,N/A,Agree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35-45,he/his,White,No,No,Yes,Yes,10-15 years,10-15 years,I am open about my illness/disability with everyone,,,,,,,When my illness/disability impacted my work,Yes,Yes,"Work environment (furniture, office location, etc.)",Strongly disagree,N/A,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree        ,Disagree        ,Disagree        ,Strongly disagree        ,Disagree        ,Neither agree nor disagree      ,Agree        ,Disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree
25-35,she/hers,White,Yes,Yes,Unsure,Unsure,Less than 5 years,Less than 2 years,No one,,,,,,,,No,,,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree        ,Agree        ,N/A,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,N/A,N/A,N/A,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,5-10 years,No one,,,,,,,,No,,,Disagree,Disagree,N/A,N/A,N/A,Disagree,N/A,Agree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,,Strongly disagree        ,Agree        ,Strongly agree        ,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,5-10 years,Library director ,,,,,Once I began working,,,No,,,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree        ,Strongly agree        ,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A,Disagree,Agree,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,No,No,20+ years,10-15 years,My direct supervisor (if not library director),,,When my illness/disability impacted my work,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree        ,Agree        ,Disagree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Disagree        ,Neither agree nor disagree      ,Disagree        ,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
35-45,she/hers,White,Yes,Yes,Yes,Unsure,15-20 years,2-5 years,Other,,,,,,,,No,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Disagree        ,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,N/A,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,No,,15-20 years,2-5 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,"When my illness/disability impacted my work,When requesting accommodations",,,,,Yes,Yes,"Work schedule (change in hours, work from home, etc)",Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree      ,Agree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
45-55,she/hers,White,Yes,Yes,No,No,20+ years,2-5 years,"Colleagues I work with regularly,I am open about my illness/disability with everyone",,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",No,,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree        ,Disagree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
